🔴 Detroit. Detroit never changes | DEUS EX: HUMAN REVOLUTION Livestream #5
🔗 https://www.youtube.com/watch?v=GjLx3KIstuk

268:  Witam wszystkich niedzielnie!
5564:  Może tam być na przykład czekolada w herbatce sypane, albo suszone porzeczki, albo o, żurawina suszona jest moczopętna, dobrze działa na układ moczowy, ho.
5578:  A nie jakiś pył herbaciany w szczurze.
5581:  W... w... suszonej wątrobie szczura.
5584:  Ech!
5586:  To powinno pomóc z chorobą.
5587:  Teraz powiedz mi, co się dzieje.
5589:  Te żołnierze.
5590:  Powinienem je zobaczyć.
5592:  Wiedziałem od momentu, kiedy Seraf został zaskoczony, że... że ten wątek wróci i mnie zjadzie.
5599:  Seraf...
5601:  Więc ty byłeś inwestorem, którego zamówił, żeby zbierać na mnie kontrolę?
5605:  Detektyw.
5606:  Albo ja byłem, aż... Chryste, cholera, wystarczyło mi po prostu spróbować odpocząć.
5611:  Punkt jest, ci gooni, którzy mi to zrobili, profesjonalni... Myślę, że twój szef zniszczył tych nieprawidłowych ludzi, którzy próbowali zniszczyć twoje... drzewo.
5625:  Jakie ludzie?
5625:  Co znalazłeś?
5625:  Nie ma czasu, żeby porozmawiać o detale.
5629:  Moja unia stowarzyszenia.
5630:  Chłopaki, chłopaki.
5631:  Idą tam teraz.
5635:  Saref miał mnie odzyskać.
5636:  Dużo k***a na Ciebie.
5638:  Nawet rzeczy, których Ty nie wiesz.
5642:  Twoi rodzice, twoi prawdziwi rodzice.
5645:  Testy, ogień... Co to jest, Jensen?
5647:  Jakiś rodzaj... Spocznij się, Radford.
5653:  Wszystko włożyłem.
5653:  Zmocowałem kawałek w stowarzyszeniu.
5658:  Myśmy przecież znaleźli tę skrytkę już dawno temu.
5661:  Jaki pył herbaciany w szczurze?
5663:  No szczura mi się nazywa przecież te zaparzadełka śmieszne.
5669:  Herbatki sypane, zachwyca się żabcia, zielona z jaśminem to życie, herbatka jaśminała jest pyszna.
5674:  Piwo jeszcze działa lepiej na układ moczowy.
5676:  Tak, ale trzeba uważać, jeżeli ma się przetkaną nerkę, to wypicie piwa wtedy może sprowadzać spuchnięcie nerki i konieczność interwencji operacyjnej, więc ohohohoho.
5685:  Natomiast, no, trzeba uważać z tym.
5687:  Ale tak, jasna sprawa.
5690:  Jeszcze Szymon Rogowski pytał, co sądzę o takim myśleniu, że człowiek ma tylko pracować i realizować ambicje, bo ja się ostatnio na Twitterze bardzo krytycznie na ten temat wypowiedziałem.
5699:  Zateezeruję Wam tylko, zateezuję Wam, że będzie na ten temat film vlogowy.
5707:  Nie wiem, czy w tym tygodniu, czy może w przyszłym tygodniu, nie wiem, ale na pewno w grudniu.
5714:  Po piwie jest smutno, a po herbacie normalnie.
5718:  Jest takie powiedzenie łacińskie, omnes animal trista post coitum, każdy zwierzę smutne po orgazmie.
5734:  Naprawdę, nie żartuję.
5741:  Nie no, z nereczkami jest tak, że trzeba uważać w momencie, w którym ma się na przykład, nie wiem, osad albo kamienie, no i wtedy wypicie piwa może być średnim pomysłem.
5755:  Dobrze.
5755:  Pytamy o szczegóły.
5757:  Fuck!
5758:  You... robot!
5761:  Znowu morfiny?
5762:  Focus, Radford.
5763:  Aaa, that hit the spot.
5767:  I think I could get used to this stuff.
5774:  Ja już wszystko zrobowałem już.
5789:  Nie ma przy sobie pieniędzy, to po co ja mu pomagam?
5792:  Piotrek Lambryczyk, dzięki za wsparcie od czterech miesięcy.
5794:  Witam i dużo zdrowka życzę.
5796:  Dziękuję, dziękuję.
5797:  Bardzo dziękuję.
5799:  Czy można powiedzieć, że ambicja nieraz jest chorobą, którą część osób uznaje za cnotę?
5803:  Przesadna ambicja nie jest dobra.
5807:  Bo ambicji jako takiej nie ma nic złego, jeżeli ta ambicja to jest bardziej marzenie, marzenia nas napędzają.
5815:  Ale jak ambicja zaczyna być przerostem ambicji, to wtedy zaczyna się problem.
5820:  I z tego problemu ciężko wyjść, ponieważ człowiek jednej rzeczy nie potrafi, to znaczy wyjść z siebie, stanąć obok i ocenić się obiektywnie.
5827:  Więc praktycznie, póki otaczają nas ludzie, którzy cały czas nas MOTYWUJĄ, jak ja nienawidzę tego słowa, to możemy nigdy nie wyjść z tego pędu ambicjonalnego.
5838:  Radford, wiem, że jesteś w szpitalu.
5840:  Jest tu unia pożarowa.
5850:  Nie.
5850:  Jestem pewien, że to nie jest... Wiem, co Morfine robi.
5853:  I wiem też...
5854:  Zaczyna się.
5855:  Zaczyna się.
5856:  Eutanazja, moi drodzy.
5857:  O, fuck.
5886:  Dlaczego tak bardzo nienawidzisz augmentacji?
5889:  Bo to nie jest prawda.
5891:  Nie możesz... Nie możesz się zmieniać tym, jak się dzieje.
5895:  Nie możesz zmienić prawdziwego z imitacją.
5898:  To nie jest prawda.
5900:  To nie jest... naturalne.
5903:  To może zapłacić ci życiu.
5904:  Nie.
5904:  Zostajesz więcej, niż to, co zostaje po stronie.
5907:  Powinieneś to wiedzieć.
5912:  Ale to, ale to rozumowanie mi coś przypomina, ale to rozumowanie mi coś przypomina.
5917:  Gość cały czas mówi, o, to nie jest normalne, imitacje są złe.
5922:  Cały czas ma wdrukowaną koncepcję natury, Russo.
5929:  Marcinie dzięki serdeczne za przemiłe słowa.
5931:  Marcin pisze, że jego babcia miała kamienie, to trochę wiem, co to za sef.
5934:  No, kamienie to jest paskudna sprawa.
5941:  Lecimy.
5942:  Okej.
5942:  On był alfą, prawda?
5966:  Tak, był alfą.
5968:  Nie myślę, że naprawdę chcesz umrzeć, Radford.
5970:  Myślę, że jesteś po prostu zaskoczony.
5974:  Ja też byłem zaskoczony.
5975:  Nie prosiłem o nic takiego, tak samo jak ty nie prosiłeś o piłkę w głowie.
5978:  Ale nie możesz mnie, czy saraf, czy technologię zaskoczyć za to, co się tu dzieje.
5982:  Nie byłem w tej maszynie, gdyby to nie było dla ciebie i twojego cholernego przodu.
5990:  Nigdy nie powinienem zdobyć pracy, ale potrzebowałem pracy, pieniędzy.
5995:  Nawet jeśli bym chciał.
5996:  Nie mogę załatwić tej cholerniej operacji augmentacyjnej.
5999:  I nie mogę... Nie mogę żyć jak krasnolud przez resztę mojego życia.
6005:  Życie przez nieruchomość jest czymś, co sprawia, że jesteśmy ludźmi.
6007:  To nie jest krew i krew, czy nawet krew, która nas definiuje.
6010:  Mogę być bardziej maszyną niż krew, ale wciąż żyję.
6013:  Wciąż jestem człowiekiem.
6015:  Masz serce?
6015:  Dla robotów?
6017:  Zostawię ci to.
6017:  Powiem ci coś.
6025:  Zajmę się tym małym specielem po szkole, który masz tutaj.
6027:  Przejdę przez to.
6028:  Ale nie... Nie z powodu tej... ...czarownej, błyskawicznej szarady.
6034:  Żyję za prawdę.
6036:  Za zemstę.
6038:  Ktoś, kto zapłacił te uszty, ja poszlę za tymi chłopcami.
6042:  Nie interesuję się, jak głęboko ta... ...zabitowa góra idzie.
6045:  Cieszę się, że to słyszysz.
6049:  Tak.
6049:  Tak.
6054:  Dowiedzisz się tego w następnej części gry, jak bardzo.
6061:  Hmm.
6089:  To też powinno trafić na soundboarda.
6093:  No, ciekawie, moi drodzy, ciekawie.
6096:  Bardzo lubię takie motywy.
6098:  To jest właśnie dobry cyberpunk, tak?
6100:  Czy dostajecie w głowę problemami takimi jak eutanazja w czasach, w których
6107:  Pritchard, spotkałem Radferta.
6108:  Był atakowany mężem w sucie.
6109:  Oni są typami serwisu sekretnego.
6111:  Idę po nich.
6111:  A co z Radfertem?
6113:  Znalazłeś coś z nim?
6136:  Jest w całkiem złej formie.
6138:  Musisz go zapytać, dostać ambulans do jego mieszkania.
6141:  Rozumiem.
6142:  I Jensen, nie zabijaj się, okej?
6145:  O, Franciszek, nie wiedziałem, że się o to zainteresujesz.
6148:  Nie błagaj się.
6149:  Zainteresuję się bezpieczeństwem tej firmy.
6151:  Zabijanie się to skompromisuje.
6153:  Więc nie bądź głupi.
6156:  Dlaczego uważam, że Pani Jeziora i Wieża Jaskółki są nudne?
6160:  Ponieważ Andrzej Sapkowski wtedy, zamiast skupić się na opowiadaniu dobrej historii, skupiał się na udowadnianiu swojej tezy i wszystkie fantazy podchodzi z Króla Artura.
6169:  No niespodzianka, niewszystek.
6173:  I to jest powód, dla którego zdecydowanie gorzej mu poszło w tamtych powieściach.
6180:  Moim zdaniem.
6181:  Gorzej mi się je czytało.
6185:  No come on, przecież zwariuję!
6216:  Gdzie on jest?
6217:  Gdzie on jest?!
6224:  Dobra, ale są ładne ambienty teraz za to.
6240:  O nie, dobrze, jest policja.
6244:  Mam nadzieję, że się nami nie zainteresują.
6251:  Włamy, włamy, włamy!
6255:  Świetnie.
6257:  Jeszcze zaspamuje... Jeszcze jest zaspamowany przez nas.
6260:  Bardzo dobrze.
6269:  Tyle w temacie.
6269:  Skumbię w temacie.
6270:  Pstrąg!
6273:  No, chcę moduł kredytowy.
6277:  Zdjęcia.
6282:  Ciekawa rzecz.
6282:  Kamerkę oddal.
6283:  Oczywiście Krzysztof zap... Nie no, dobrze powinno być.
6289:  Krzysztof nie najlepszy Regis rządzi, no ba, no ba, fantastyczne rzeczy.
6294:  Wątek Nimue był w Sadze wpychany na siłę, że to bolało.
6297:  To jest ta obsesja Sapka, ona też wyszła w sezonie Bush.
6301:  On uwielbia korpus arturiański, dlatego też napisał Świat króla Artura Maladie, gdzie opisuje, zresztą dość dobrze to wszystko.
6314:  Twisted Shedda, Michigan.
6316:  18 lipca o godzinie 4.36 rano straż pożarna została wezwana do pożaru, który wybuchł w laboratoriach White Helix.
6322:  Biała helisa.
6323:  Zanim strażacy przybyli na miejsce, ogień zdążył już pokłonąć główny budynek.
6326:  Nie udało się porozmawiać z dyrektorem generalnym Michaelem Burrisem, by uzyskać komentarz, lecz nagrana na bezpłatnej linii laboratoriów wiadomość mówi, że prawdopodobnie nikt nie odniósł się w pożarze.
6335:  Nikt nie odniósł się w pożarze obrażeń.
6337:  Nawiasem mówiąc, tu macie przykład złych przecinków, lecz nagrana na bezpłatnej linii laboratoriów wiadomość bez przecinka mówi...
6344:  Okej.
6344:  Może tutaj jeszcze coś się dowiemy.
6371:  Bo to jest... Tutaj się dowiadujemy o dzieciństwie prawdziwym Adama Jensena.
6378:  Dawidzie, dzięki za wsparcie od 10 miesięcy.
6380:  Ale Krzysztof, ale Krzysztof!
6382:  Wesołego live'a, dziękuję!
6385:  Live zawsze jest wesoły.
6388:  Panie Jezioro, jest trochę jak w serialu Mało Wiedźmina w Wiedźminie.
6390:  No!
6395:  Krzestołnia to jest zdecydowany szczyt.
6400:  Panie Sarif!
6402:  Znalazłem wyniki testu psychologicznego Adama Jensena przeprowadzonego po tej akcji z ulepszonym nastolatkiem.
6406:  Udało się rzucić okiem na teczkę , ale nie miałem możliwości jej skopiowania.
6411:  Przynajmniej na razie.
6412:  Będę z panem szczery, te wyniki nie są najcudowniejsze.
6414:  Wspomnieli tam o problemach z uznaniem zwierzchnictwa, ignorowaniu hierarchii dowodzenia... O tam, o tam, o tam, zawsze byliśmy wzorowi.
6422:  Molesta, tur zapatrzony, pisze, off-top lekki, ale polecam serię Bip, bip, psie chwosty na kanale Karczmarze.
6430:  Szczególnie odcinek Prawda Historyczna.
6431:  Dziękuję za polecajkę.
6434:  Ratford, masz tu perełkę, którą wyłuskałem z komputera jego obecnej, czy raczej byłej, Cizi.
6439:  Słowo Cizia jest rzadko używane.
6441:  Miałem nadzieję zdobyć więcej, ale jakiś Nuclea Snake wpadł na mój trop.
6445:  To był ten haker chyba, którego ustrzeliliśmy w Hengszy.
6449:  Musiałem zerwać połączenie.
6450:  Kiedy próbowałem połączyć się na nowo, moje dojście było spalone.
6453:  Ktokolwiek to był, są nieźli.
6457:  Hej Megan, wiem, że miałaś parę pytań na temat przesłanych przez mnie plików.
6460:  Przepraszam za tę serię wykresów, ale próbka była więcej niż przełomowa i trochę się rozpędziłam.
6465:  Pewnie nie powiesz mi, skąd ją masz?
6466:  Krótka odpowiedź na moje pierwotne obliczenia to tak, te próbki DNA są wyjątkowe.
6470:  Mieliśmy na tyle szczęścia, że ustaliliśmy czemu.
6473:  To jest ten moment, kiedy Deus Ex daje kluczowe informacje fabularne w komputerze.
6479:  Pracujemy z nowym chaotycznym modelem genomatrycy, który ma na celu zastosowanie matematyki fraktalnej w badaniach mutacji genetycznych.
6485:  W skrócie, próbowaliśmy przewidzieć przyszłość ludzkiej ewolucji, używając danych minionych mutacji przechowywanych w naszych mitochondriach, przekazywanych w nienaruszonej formie od rajskiej Ewy przez nasze matki, dzięki czemu mamy dość dokładną i uniwersalną rozpiskę naszej wspólnej przeszłości.
6498:  Chodzi o to, że przysłana przez Ciebie próbka pasuje do naszych ewolucyjnych modeli przyszłości.
6502:  Mówimy tu o kimś, kto wyprzedził nas w genetycznym wyścigu o długość albo i dwie.
6506:  Czy wiesz, co to oznacza dla medycyny?
6508:  Masz w rękach żyjącą, oddychającą nagrodę Nobla.
6511:  Problem w tym, że nie mogę ci powiedzieć, czy to naturalny, ewolucyjny krok, czy to jest rezultat czegoś, co zrobiono matce, gdy dziecko było in vitro.
6516:  Ale wiem, że matka tej osoby nie miała podobnych mutacji i mitochondria nie kłamią.
6524:  W tym pierwszym mailu dalej było coś ciekawego.
6528:  Okej.
6531:  Kiedy mnie pan zatrudniał, opowiedział pan, że mam czytać między wierszami, więc proszę, ta ocena to jak kiepski kryminał.
6535:  Wydaje mi się, że jakiś wkurzony zwierzchnik chciał wywalić Jensena ze służby i odstawił te wyniki tak, by przy okazji wyglądało to na słuszne postępowanie.
6542:  Jednak większość funkcjonariuszy, z którymi rozmawiałem, szanowały i lubiły Jensena.
6545:  To nie pasuje do naszego roleplayu.
6548:  Mimo wszystko Meziu to lubiło go na tyle, żeby nie pozwolić płynąć wynikom tego badania.
6552:  To nie nasz Jensen.
6554:  Czy jak wyjdzie, Niezwyciężony będzie ogrywany na streamie?
6556:  Możliwe, że tak, chyba że gra okaże się nudna.
6559:  Raz tak było, że gamedecka zaczęliśmy ogrywać, to był pierwszy stream.
6563:  Boże, tak, to był pierwszy stream z gry wideo, jaki mieliśmy, jakiejkolwiek, na live'ach.
6569:  I to był gamedeck.
6570:  Swoją drogą, Marcin Przybyłek był nawet wtedy na live'ie i komentował na bieżąco.
6573:  No ale... No ale ta gra właśnie polega na tym, że się czyta, no to ja od tego mam książkę.
6582:  jak się zmotywowałem do uczenia, nie motywowałem się do uczenia nigdy.
6587:  Ja miałem tylko jeden cel w którymś momencie, to znaczy, jeżeli już wybrałem sobie nieprzyszłościową dyscyplinę, znaczy humanistykę, to było dla mnie jasne, że muszę być najlepszy, jak jest to tylko możliwe i starałem się taki być.
6599:  Natomiast nie starałem się przeskakiwać sam siebie nigdy, a i tak to zrobiłem, niestety, ponieważ właśnie zostałem wpęcony w tę spiralę gonienia za własną ambicją.
6611:  Więc nie, nie motywowałem się nigdy.
6613:  Może dobrze.
6617:  Natomiast jak ktoś się nie uczy i ma problem z nauką, to wtedy proponuję następujący test.
6624:  To znaczy przypomnieć sobie, jak człowiek się uczył za dzieciaka, ale tak bardzo wcześnie.
6632:  Różnych rzeczy, które pamiętamy.
6634:  Mogą być nazwy dinozaurów, ale może być to równie dobrze to, jak jeździć na rowerze.
6640:  Każdy się uczył tego troszeczkę inaczej, ale wszystkie te nasze sposoby nauki miały jedną wspólną cechę.
6645:  Wiecie jaką?
6646:  Zabawę.
6650:  I tu jest tyle, że pies pogrzebany.
6653:  Naszego problemu z koncentracją, ze zdolnością uczenia się i tak dalej.
6656:  Ktoś w którymś momencie stwierdził, że istotą edukacji jest to, żeby każde nowe pokolenie
6663:  nadrabiało zaległość jakąś, tzn.
6665:  rodzimy się, o Jezu, nie wiedząc tego wszystkiego, co do Einsteina, więc trzeba szybko, szybko, szybko, szybko się tego nauczyć i potem wrócimy już do bycia kreatywnym, tylko że niektórzy nie wracają.
6678:  To jest mało skuteczne.
6684:  Przyjaciel z Genevue Labs przeprowadził dla mnie, czytamy dalej o Jensenie, nieoficjalnie test zgodnie z twoją prośbą.
6691:  To jest prawdopodobnie dalej Megan Reed wiadomość.
6694:  Czy obiekt wie, że żadne z jego opiekunów nie jest rodzicem biologicznym?
6698:  Zaskoczyło mnie to.
6699:  Zgodnie ze starymi zapisami medycznymi, które udało się odkopać, matka była sterylna, ale u ojca też nie stwierdzono pokrętnych fenotypów.
6705:  Marge Jensen i Artur Jensen, okazuje się.
6709:  Myśmy już czytali te wyniki, tylko w innym miejscu.
6711:  Adam Borkowski, witamy w gronie trybutariuszy.
6716:  Najlepszy sposób na motywację, pisze TapOnX, to wprawić się w stan znudzenia.
6720:  Trzeba wyeliminować z otoczenia to, co rozkojarza, w ten sposób to, co normalne nawet, będzie angażujące.
6726:  To jest jakiś sposób, niewątpliwie.
6732:  Okej, czy tu jest coś ciekawego?
6736:  Tak.
6737:  Nie było to proste, ale w końcu udało się im prześledzić fragment przeszłości Margie i Artura Jensenów dzięki ich dokumentacji medycznej.
6742:  Arthur Jensen miał wystarczająco dużo koneksji wśród swoich starych kumpli z pustynnej burzy, obecnie konsultantów do spraw ochrony, żeby zdołać wyczyścić część zapisków, dlatego ta rodzina jest praktycznie wymazana z historii.
6753:  Jednak nie mógł ukryć dokumentów Margie.
6755:  Przez okres ośmiu lat za lekarstwa żonym Artura, czyli Margie Jensen, płaciła polisa ubezpieczeniowa jego ówczesnego pracodawcy White Helix Labs.
6762:  I tam gdzie był pożar!
6764:  Od czternastego roku życia stosowała antydepresanty i potrzebowała regularnych recept.
6768:  Kiedy White Helix spłonęło, wszystkie archiwa firmy i dokumenty pracowników zniknęły, a Jensenowie pozostali niewidzialni.
6773:  Rzecz w tym, że w jednej chwili Adana nie ma, a w następnej Jensenowie wychowuje radosnego i zdrowego pięciolatka.
6778:  No i wtedy odstawiają numer ze znikaniem, więc miałem czułe jaj, powęszyłem jeszcze trochę dookoła.
6783:  Najwyraźniej Jensen i jej próbowali adoptować dzieciaka w paru agencjach w Michigan, ale Margie uznano za niezdolną do opieki nad dzieckiem.
6789:  Zanim ktokolwiek się spostrzegł, mieli Adama bez żadnych śladów wskazujących na to, jak mógł trafić w ich ręce.
6793:  Mam nadzieję, że to pomoże.
6794:  Rzeczy się dzieją, moi drodzy!
6798:  No i gdybyśmy grali w... gamedeck'a, tak by wyglądał cały stream.
6803:  Ja nie mam jak spoglądać na czaty.
6809:  Kinga pisze, że jest na końcu serii The Dead Redemption i ma pytanie, czy jak nie grałem, to nie denerwowało mnie... LERY!
6819:  Nie denerwowało mnie.
6823:  Często wspominasz okoliczności wręczenia Nobla Sienkiewiczowi.
6826:  Nigdy nie wspomniałem o okolicznościach wręczenia Nobla Sienkiewiczowi, ale mogłem wspomnieć o tym, że Henryk Sienkiewicz pisał literaturę popularną, którą drukowano w gazetach i że trylogia jest pełna różnego rodzaju zabawnych błędów logicznych i spójnościowych, które wynikają z tego, że to było pisane do gazety, tak?
