🔴 WIEDŹMIN (SEZON 3) — odcinek 3-5 | Recenzja ze spojlerami #2
🔗 https://www.youtube.com/watch?v=Wiw-Gb3mWek

196:  Wiecie co, w sumie odcinek trzeci nie jest taki zły.
7599:  A z kolei w przypadku amerykańskich miast zwykle jest zupełnie inny dyskurs, prawda?
7607:  I macie miasta postindustrialne i krytycy amerykańscy, jak zresztą tutaj możecie przeczytać, zaczęli wskazywać, że to narzucanie właśnie takiej perspektywy amerykańskiej jest w stosunku nie do jakiegoś innego kraju anglosaskiego, tylko do społeczeństwa, które było również zmarginalizowane kolonialnie, czyli polskiego.
7630:  I to pokazuje właśnie, że nie jest absolutnie tak, że jest, wiecie, jakaś hegemoniczna, monolityczna opinia na Zachodzie, że wszyscy uważają, że walk culture, nie, absolutnie wszyscy dostrzegają, że jest pewien problem.
7645:  Że reprezentacja to jest tak naprawdę i queerbaiting, i racialbaiting, że to jest baitowanie ludzi, że to jest granie na tanich emocjach, konfliktowanie.
7653:  Natomiast jak ktokolwiek zaczyna to chłodno analizować, niezależnie od tego skąd pochodzi, to dochodzi do takich samych wniosków.
7659:  Podlinkuję wam oczywiście ten link.
7661:  Tekst jak zawsze i jedyne co mogę powiedzieć to to, że spektakularnie widać, że się nie udaje ten projekt Tomasza Bagnińskiego.
7669:  Jak ja dzisiaj zobaczyłem na fanpage'u Tomasza Bagnińskiego znowu, nie wiem dlaczego ja tam jeszcze wchodzę, ale zobaczyłem mianowicie jego entuzjastyczną opinię na temat tego, że wchodzi o to drugi zwiastun już Wiedźmina.
7684:  Aż się wklikam tam, żeby wam to pokazać.
7686:  Ja po prostu się czułem jakbym był w jakimś innym świecie.
7688:  Zero odpowiedzi na kontrowersje, zero ustosunkowania się do tego, co mówią krytycy.
7692:  Nic absolutnie, tak?
7693:  Wchodzicie sobie na Peja Bagińskiego i co widzicie?
7698:  No, zapraszam na trailer, bierzcie i oglądajcie, to będzie naprawdę kilka dobrych odcinków, a pustynia była najbardziej brutalnym fizycznie przeżyciem, jakiego doświadczyłem na planie filmowym.
7707:  Myślę, że nic tego nie przebije.
7709:  50 stopni na Saharze z gorącym jak rozpalony piec.
7711:  Nie obchodzi mnie żaden twój rozpalony piec, zwłaszcza, że dwa ruchy i suki, tak?
7717:  Rozpalony piec wiatrem niosącym piasek, wciskającym się wszędzie zachodni wiatr, spienione gonifale, tak?
7722:  To było wyzwanie dla ludzi z sprzętu, jak wspominałem, ten sezon jest mocny dla Frey i Ciri, ale jak mocny, to pokaże dopiero ta część.
7730:  Dlaczego tu nie ma słowa na temat tego, co wszyscy powiedzieli w tej chwili?
7734:  Dlaczego tu nie ma słowa na temat tego, że ten serial w tym momencie notuje rekordowy spadek w stosunku do tego, jak popularne były poprzednie sezony?
7740:  Ja mam zielonego pojęcia po prostu.
7743:  To jest alternatywna rzeczywistość, w której żyję.
7745:  Ja domyślam się, że Bagniński pewnie ma podpisane takie NDA i takie umowy, że musi tak gadać, ale na jakimś poziomie jest we mnie tak to fanowskie oburzenie, że człowiek, któremu zaufaliśmy, no nie dowiózł ewidentnie.
7756:  Zamykam się już i przeczytam rzeczy na czatach.
7759:  Netflix nie chciał się inspirować grami, zapewne dlatego, że pewien pan stwierdził, że narobiłem mu sprodu i gówna.
7763:  To jest osobna kwestia, bo zauważcie, że strategia marketingowa Loren, dzięki ci jeszcze raz Dawidzie za wszystkie trybuty, że strategia marketingowa Loren zasadzała się na tym, żeby cały czas postreślać, że my robimy coś innego i współpracujemy z pan Jayem, tak, żeby to było zgodne z książkami.
7779:  Tylko problem polega na tym, że to nie jest zgodne z książkami!
7783:  Gry, przypominam, są po sadze.
7788:  Nie będę spoilował zakończenia sagi na wypadek, gdyby ktoś nie czytał, a chciałby, naprawdę zachęcam, ale z różnych względów Geralt nie może być bohaterem gier, a jest i radzi znaleźć rozwiązanie.
7800:  jak to zrobić.
7801:  Trudniejsze zadanie fabularne, niż wzięcie sagi i zrobienie 1 do 1.
7806:  Nawet jeżeli nie byłoby to 1 do 1, nawet jeżeli to byłoby w jakiejś skali, nawet jeżeli to byłoby z, nie wiem, z użyciem jakichkolwiek środków artystycznych, ale ktoś powiedział bardzo słusznie, że Lauren tak bardzo wnikliwie i blisko czytała książkę, że zdarzyło się jej to, co pięknie pokaże moja kamera, która nigdy nie umie, która nigdy nie umie w autofocus,
7828:  która nigdy nie... O, że Lauren tak spojrzała, że wszystkie literki się jej rozmazały i ona już nie wiedziała, co czyta.
7836:  Tak blisko była książki, tak blisko była tej adaptacji.
7842:  Gryso, posadzę, a jednak czujesz się jak wsadzę.
7844:  Prawda, Major?
7845:  Absolutnie tak.
7846:  Bagiński, gdy największe rozczarowanie pisze cytrus a propos tego serialu, przykro się ogląda ciągły denializm gościa pod każdym postem, w którym się pojawia krytyka wobec Netflixowego Wiedźmina.
7854:  Ja pamiętam momenty i utrwaliłem to w recenzji Knights of Zodiac, czyli Rycerzy Zodiaku, gdy Bagiński mówił idź, idź, idź, idź, idź.
7862:  I feel you, tak?
7863:  I got you, I got you.
7865:  Wiem, że jest źle, wiem, słuchajcie, ale ja pracowałem teraz nad Rycerzami Zodiaku, ten drugi sezon jest jaki jest, ale trzeci będzie para wróg i Wiedźmin Bóg i Fistech Bóg, tak?
7879:  Dla Loren i będzie najlepiej po prostu, no i...
7882:  No niestety nie, tak?
7883:  Czyli krótko mówiąc, Tomasz Bagiński to jest taki nasz rodzimy Todd Howard, który jest sprzedażowcem, który będzie mówił 16 times the detail, ale tak naprawdę Bethesda jak zawsze nie dowiezie, tak?
7894:  I to jest ten sam Todd Howard, który nie umie wymówić Assassin's Creed Valhalla i mówi Assassin's Creed Valhalla.
7900:  Dokładnie to, tylko że w szatkach Tomasza Bagińskiego, niestety.
7903:  Smutne, bardzo, bardzo smutne dla każdego fana.
7908:  Dzięki za przekonanie mnie live'ami przy grabkach.
7910:  Mam nadzieję, że nie do oglądania.
7913:  Dzięki za wsparcie od 22 miesięcy.
7915:  Cały budżet Netflixa poszedł na oświetlenie, dialogi i filtry, więc ubrania zakupili w lumpeksie węgorzewskim.
7920:  Tak, węgorzewo najbardziej zyskało, moi drodzy.
7923:  Ale jakby się chcieli inspirować grami, pisze Elentari, to też z CD Projektem Red powinni się dogadać.
7927:  Ciekawe, czy próbowali w ogóle.
7928:  Chodzą ploty, ale to są ploty, ja nie lubię sprzedawać plot.
7931:  Chodzą ploty, że to Netflix się nie chciał dogadać z CD-Pem, ponieważ Loren się uparła, że nie chce robić nic
7938:  nie chce mieć nic wspólnego z grami i generalnie Cavill był jedyną z nielicznych osób na planie, która po pierwsze gry znała, a po drugie rzeczywiście za nimi lobbowała, więc sądzę, że całkowicie prawdopodobny jest scenariusz, w którym Cavill rzeczywiście się zdenerwował i desantował.
7953:  Skąd to wiem?
7954:  No dlatego, że to z kolei Filip mi bez schematu przekazał, że paru Whistleblowerów wspomniało, że na tym wiedźmińskiej imprezie, która była w Łodzi, Henry'emu Cavillowi nie pozwolili się fotografować z CD Projektem Reddy's, bo on chciał jako fan, nie?
7967:  I robili mu trudności.
7968:  To jest plota wprawdzie, która poszła, ale uważam, że fajnie jej nadać bieg, biorąc pod uwagę, że gorsze ploty zostały puszczone.
7975:  Wiecie, jakie ploty zostały puszczone w obieg?
7977:  Że ten serial jest na podstawie powieści Andrzeja Sapkowskiego!
7980:  To jest najgorsza...
7981:  Najbardziej kłamliwa plota, jaka została puszczona, ja się dałem zbejtować.
7985:  Moniko, dziękuję serdecznie za trybut.
7987:  Ten człowiek boi się napisać własnego fantasy w obawie, że Netflix zrobi adaptację.
7992:  Mówisz o Bagińskim czy o Sapku?
7995:  Sapek myślę, że już jest na takim etapie jak George R. R. Martin, wiecie, że już nie musi.
8001:  Zarobił swoje, zrobił swoje, jeszcze pamiętajcie, że Sapkowski miał bardzo ciężką sytuację rodzinną, on zawsze mówił, że pisał też częściowo dla swojego syna Krzysztofa nomen nomen i ja to umiem zrozumieć, absolutnie, bo o wiele bardziej zrozumiem to, jeżeli Sapkowski nie napisze żadnej powieści, niż jeśli Patrick Rothfuss albo właśnie George R. R. Martin nie napisze żadnej powieści.
8020:  Grubysław pisze, że boli go... Grubysław pisze, ale nazywa się Grubysław, ale ćwiczy więc niedługo Hudysław.
8026:  Boli mnie, jak Bagiński odszedł od zrobienia fenomenalnej animacji do wieśka, tak?
8031:  Do totalnego denializmu, jak zły jest ten serial.
8033:  Grubysław się odwołuje, moi drodzy, do czegoś, co naprawdę powinniśmy zobaczyć, na wszelki wypadek, gdybyście wy tego nie widzieli.
8040:  Witcher 2 Xbox.
8042:  Do Xboxowego traileru, mianowicie Platige Image, zrobiło znakomitą animację.
8049:  Ja wam tylko puszczę fragment, okej?
8051:  Żebyście zrozumieli, dlaczego ja zobaczywszy tę animację, zwłaszcza będąc fanem magii, ja prawie doszedłem.
8057:  Więc proszę bardzo.
8076:  To jest, moi drodzy, bagiński przed Wiedźminem.
8081:  To jest... Tak powinni wyglądać siły Redani.
8086:  Albo dowolnego z Królestw Północy.
8093:  Ja teraz jeszcze to czuję.
8096:  No i tu oczywiście Leto nasz.
8101:  Edir.
8129:  Zdrowienia dla Aloj!
8171:  No i moi drodzy, to jest Wiedźmin, tak?
8174:  To.
8174:  To jest Wiedźmin, którego ludzie oczekiwali po Tomaszu Bagińskim.
8179:  Żebyśmy dobrze się zrozumieli, to nie jest tak, że fani zwariowali, tak?
8184:  Fani po prostu mieli określony...
8188:  poziom, do którego aspirowali, do którego aspirowali następnie w swoich fanficach, w cosplayach, a ten poziom został zbudowany oczekiwaniami, które się piętrzyły i piętrzyły i piętrzyły w toku kolejnych trailerów cudownych, gier i tak dalej i tak dalej.
8204:  To potrafi zrobić Platinum Image.
8205:  Ja nie mam zielonego pojęcia, co się z nimi stało.
8208:  Nadrajam trybuty.
8209:  Mariusz S. Dzięki serdecznie na trybut.
8210:  Dzięki Marknice Nowak i dzięki Cenezi za dołączenie do grona wspierających.
8214:  I jeszcze coś widziałem wcześniej.
8216:  RGBTU Enthusias pisze, że to jest potęga magii jak z książkowego, a nie jak z książkowego Aragona, prawda?
8221:  Jak z książkowego Aragona.
8222:  Tam też była dobrze magia przedstawiona.
8224:  Coś wspaniałego, moi mili, więc wyobraźcie sobie teraz to, wyobraźcie, tylko że w wariancie, powiedzmy HBO, czyli z ich budżetem, z ich możliwościami, z tą muzyką, która jest nawiasem mówiąc zrobiona nie przez Percivala Schuttenbacha w tym momencie, tylko to jest albo Michałaj Stroiński,
8242:  albo Przybyłowicz, ale wydaje mi się, że to jest Stroiński akurat.
8246:  Musiałbym to sprawdzić, na wszelki wypadek może ktoś mnie zweryfikować.
8249:  To tworzył Bagiński, Mortir, absolutnie tak.
8252:  I dlatego właśnie, jak Bagiński powiedział, że zajmuje się Netflixem,
8257:  to wszyscy mieli meltdown ze mną włącznie, bo rozumieliśmy, że wreszcie mamy do czynienia z tym, co właśnie mieliście w tym tekście, tak?
8265:  Że jest jakiś core, tak, tej franczyzy narracyjnej i ten core, ten rdzeń to będzie wyobrażenie Bagińskiego jako Polaka, fana Wiedźmina, autora tego rodzaju animacji o uniwersum i że będzie loremistrzem, który strzeże spójności tego świata.
8283:  No i okazało się, że niestety jest zupełnie, zupełnie, zupełnie inaczej.
8286:  Netflix miał duży budżet, to prawda, spalmy popcornie, ale nie ma takiego dobrego kierownictwa artystycznego, jakim dysponuje HBO.
8293:  Dobry budżet to nie jest wszystko.
8295:  Gdyby dobry budżet to było wszystko, to moi drodzy, Ring of Power wyglądałoby inaczej.
8300:  Dobry budżet to jest dobry początek, tak?
8302:  Bez dobrego budżetu nie zrobicie dobrej fantazy.
8305:  To o tym się przekonał niestety smutnie twórca zajebistej swoją drogą franczyz Dark Crystal, któremu właśnie skończyły się pieniądze i nie był w stanie robić tych wspaniałych swoich rzeczy.
8314:  Nawiasem mówiąc, bardzo polecam.
8315:  Radosław Foltyn, dzięki za wsparcie od 20 miesięcy.
8318:  Skorpik robił muzykę do Wiedźmina II.
8320:  Okej, okej, I stand corrected.
8321:  Stoję, skorygowany.
8323:  Przybyłowicz też.
8324:  Zresztą Redzie miej naprawdę znakomitą muzykę.
8326:  Podsumowując zatem, moi drodzy, te nasze dzisiejsze trudy, muzycznie jest naprawdę dobrze w serialu, bo wjechał Percival Schuttenbach.
8335:  Scena z dzikim gonem to jest jedyna, dla której warto to obejrzeć.
8337:  Czyli odpalacie sobie trzeci odcinek w zasadzie, przewijacie do końca i zapętlacie Geralta, który wali aardem.
8344:  Najpiękniejsze rzeczy, jaką tutaj zobaczycie.
8346:  Oprócz tego ten trzeci, początkowy odcinek, od którego dzisiaj zaczęliśmy, najlepszy kinematograficznie, działy się tam fajne rzeczy.
8352:  Jeśli chodzi o zwiastun, to już trochę widzieliście w tym poście Bagińskiego następnych części.
8356:  Wiemy tylko tyle, że będzie sporo efektów magicznych i specjalnych i ognia, więc powiedzmy, że ja będę zadowolony, bo im więcej ognia, tym lepiej.
8363:  To znaczy po prostu te wszystkie sety i plany filmowe, które mają do Wiedźmina, należy puścić z dymem.
8368:  Jeżeli to zrobią w serialu, to będę bardzo zadowolony widząc na przykład tę okropną arytuzę z różowym kamieniem, który był dźwigany przez krasnoludki z Mahakamu w zgliszczach.
8378:  To będzie wspaniały widok, absolutnie.
8380:  To nie było AR, tylko pojęcie mocy.
8382:  Tak, Krzysztof nawet chwali art.
8384:  To prawda, jestem tak zdesperowany, że mój znienawidzony znak wiedźmiński z gier pochwalam tutaj, bo przynajmniej były jakiekolwiek znaki.
8391:  Nawiasem mówiąc, znaki akurat wprowadził Henryk Kawil, ponieważ Loren oczywiście nie chciała prowadzić znaków wiedźmińskich, ponieważ magia jest dla dzieci.
8398:  Umiem sobie bardzo dobrze wyobrazić tego rodzaju argumentację.
8400:  Dzięki serdecznie do Trybut Nightflash.
8402:  W sumie Leto przez większą część gry jest cieniem, którego nim jest lepiej napisane niż jakakolwiek postać w serialu.
8407:  Bardzo dobra uwaga, Leto też jest świetnie napisanym antagonistą.
8410:  Zauważcie, że tutaj całkowicie zanika nam przez te trzy odcinki postać Reinsa.
8414:  Kompletnie.
8415:  Już nie wiemy kim on jest, o co chodzi, w zasadzie nie zagraża już naszym postaciom.
8420:  Pojawia się nowe zagrożenie w postaci Gonu, który nas ściga.
8424:  Książki pisze Dawid i dziękuję ci za trybut.
8426:  Obie serie wybitne.
8427:  Co robimy od książek?
8427:  Odbiegamy od gier, się odcinają.
8429:  Musi się udać.
8430:  Jak to się nie udało?
8431:  I nie dziwcie się potem, że chodzą słuchy, że zdesperowani fani z zachodu zaczynają sięgać po polskiego Wiedźmina i pojawiają się klasyczne meny, że tak, wtajemniczeni, na niewtajemniczonych robi to wrażenie.
8444:  I faktycznie, na niewtajemniczonych zrobiło to wrażenie, chociaż my chcieliśmy czegoś więcej, tak?
8448:  Chcieliśmy czegoś na miarę gry o tron, ponieważ myślę, że każdy fan gry dobrze wie,
8453:  I jak widać, nie tylko fan gry, tak, tylko jeszcze przypomnę, człowiek, który napisał ten tekst, oczywiście podlinkuję go wam, to wyszło w Journal for the Fantastic in Contemporary Media, Steven Joyce w Video Games in Transmedia Storyboards, też tak twierdzi, jak gracze, że to był...
8473:  Main selling point tego serialu.
8475:  Niesamowitą stratę ponieśliśmy z tego tytułu, że tak to zaprzepaszczono, bo wiecie, no nie zrobimy rebootu.
8480:  Zauważcie, ile trzeba było czekać na reboot Pottera, o który nikt nie prosił, ale i tak trzeba było długo na niego czekać, prawda?
8486:  Więc na reboot Wiedźmina, który jest o wiele słabszą marką, nie ma co czekać.
8489:  Kto czeka na piąty sezon Smoczego Księcia, trybutuje Monika?
8492:  Ja czekam bardzo.
8493:  Więc moi drodzy, dziękuję wam bardzo za dzisiaj.
8497:  Z wami jakoś szybko ten czas zleciał, chociaż muszę powiedzieć, że to były najdłuższe trzy godziny w moim życiu.
8502:  Jak dzisiaj stwierdziłem, że będę oglądał Wiedźmina dla was.
8506:  Powiem jeszcze jedną rzecz, mianowicie przerwałem na tę okoliczność ocenianie prac i recenzowanie prac dyplomowych i wpisywanie do rubryczek śmiesznych cyferek, bo tego ode mnie system wymaga, niezależnie od moich ocen opisowych.
8517:  Orzekam, że o wiele ja chcę...
8520:  przez najbliższe 12 godzin wypełniać cyferki, byleby już nie musieć obejrzeć ani jednej minuty z tych odcinków, które mam za sobą.
8527:  Już wolec przemoc rubryczek, wolę cyferki niż to.
8530:  Koszmar i hała.
8531:  Jedyny odcinek, który jest dobry z tych pięciu w tym momencie, to jest odcinek trzeci.
8536:  Jeśli ktokolwiek mówi, że odcinek piąty, to dlatego, że się snobuję, bo zobaczył pierwszy raz chwyt narracyjny retrospekcji i pocięcie na dwa plany przestrzenne, bo nie zna kina Tarantina.
8544:  Come on!
8544:  Dziękuję zatem serdecznie wam, najserdeczniej.
8547:  Spotykamy się w niedzielę.
8549:  Jeżeli chcecie wpaść na przygody nasze fabularne w Cyberpunku 2077, otwieramy nową serię i będziemy koncentrować się na aktywności czysto fabularnej, więc dużo opowieści, dużo historii, mało gameplayu.
8562:  Trzymajcie się, wszystkiego dobrego, wszystkiego jamniczego dla wszystkich.
8566:  Dziękuję jeszcze raz wszystkim wspierającym.
8567:  Dobrego wieczoru wam życzę i do następnego.
